date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:15	121200/121200	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/bootstrap-3.3.7.min.css	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/bootstrap-3.3.7.min.css	(from https://www.edaplayground.com/w/x/QKf)
20:43:16	3589/3589	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/dockmodal/css/jquery.dockmodal.css?v=1	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/dockmodal/css/jquery.dockmodal3860.css	(from https://www.edaplayground.com/w/x/QKf)
20:43:17	16107/16107	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2017:55:30%20GMT	https://www.edaplayground.com/css/custom.css?v=61	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/customaca5.css	(from https://www.edaplayground.com/w/x/QKf)
20:43:19	27525/27525	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/img/EPWave-screenshot.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/img/EPWave-screenshot.png	(from https://www.edaplayground.com/w/x/QKf)
20:43:19	1885/1885	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Feb%202024%2010:25:18%20GMT	https://www.edaplayground.com/css/epwaveCustom.css?v=7	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/epwaveCustombea6.css	(from https://www.edaplayground.com/w/x/QKf)
20:43:39	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2005%20Jun%202024%2017:43:38%20GMT	http://connect.facebook.net/en_US/all.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/connect.facebook.net/en_US/all.f.delayed	(from https://www.edaplayground.com/w/x/QKf)
20:43:39	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%2243a0c1cd178a200ed0ce4245c38c8b9f%22	https://connect.facebook.net/en_US/all.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/connect.facebook.net/en_US/all.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:41	8792/8792	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/img/DoulosLogoBanner_EDA_PG_40.jpg	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/img/DoulosLogoBanner_EDA_PG_40.jpg	(from https://www.edaplayground.com/w/x/QKf)
20:43:42	83612/83612	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1469c%22	http://code.jquery.com/jquery-2.0.3.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/code.jquery.com/jquery-2.0.3.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:42	711/711	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2017:43:41%20GMT	https://www.edaplayground.com/js/lib/cdn/jquery-2.0.3.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/cdn/jquery-2.0.3.min.13.delayed	(from https://www.edaplayground.com/w/x/QKf)
20:43:43	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	http://netdna.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/netdna.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:44	37045/37045	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/js/lib/cdn/bootstrap-3.3.7.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/cdn/bootstrap-3.3.7.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:44	14139/14139	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04015-373b%22	http://cdnjs.cloudflare.com/ajax/libs/underscore.js/1.5.1/underscore-min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/cdnjs.cloudflare.com/ajax/libs/underscore.js/1.5.1/underscore-min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:45	14139/14139	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/js/lib/cdn/underscore-1.5.1.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/cdn/underscore-1.5.1.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:45	19207/19207	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-4b07%22	http://cdnjs.cloudflare.com/ajax/libs/moment.js/2.2.1/moment.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/cdnjs.cloudflare.com/ajax/libs/moment.js/2.2.1/moment.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:48	19207/19207	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/js/lib/cdn/moment-2.2.1.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/cdn/moment-2.2.1.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:49	11363/11363	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2017:55:30%20GMT	https://www.edaplayground.com/js/utils.js?v=38	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/utils24cd.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:57	253385/253385	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3ddc9%22	http://code.jquery.com/ui/1.12.0/jquery-ui.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/code.jquery.com/ui/1.12.0/jquery-ui.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:59	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.google-analytics.com/analytics.js	(from https://www.edaplayground.com/w/x/QKf)
20:43:59	61368/61368	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/js/lib/jquery.fileupload.js?v=9.5.3	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/jquery.fileuploadd158.js	(from https://www.edaplayground.com/w/x/QKf)
20:44:00	82416/82416	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2017:55:30%20GMT	https://www.edaplayground.com/js/epWave.js?v=29	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/epWavefc7a.js	(from https://www.edaplayground.com/w/x/QKf)
20:44:00	253385/253385	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/js/lib/cdn/jquery-ui-1.12.0.min.js	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/lib/cdn/jquery-ui-1.12.0.min.js	(from https://www.edaplayground.com/w/x/QKf)
20:44:00	8023/8023	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2017:55:30%20GMT	https://www.edaplayground.com/js/epwaveHome.js?v=18	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/js/epwaveHome8fa7.js	(from https://www.edaplayground.com/w/x/QKf)
20:44:01	6992/6992	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_444444_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_444444_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:02	6999/6999	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_777777_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_777777_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:04	6988/6988	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_555555_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_555555_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:05	6299/6299	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_ffffff_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_ffffff_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:06	4549/4549	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_777620_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_777620_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:07	4549/4549	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_cc0000_256x240.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/cdn/jquery-ui/images/ui-icons_cc0000_256x240.png	(from https://www.edaplayground.com/css/cdn/jquery-ui/jquery-ui-1.12.0.min.css)
20:44:07	388/388	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Feb%202022%2015:10:56%20GMT	https://www.edaplayground.com/css/dockmodal/img/dockmodal-icon.png	C:/gggggggggggggggggggggggggggggggggg/EPWave/www.edaplayground.com/css/dockmodal/img/dockmodal-icon.png	(from https://www.edaplayground.com/css/dockmodal/css/jquery.dockmodal.css?v=1)
